date,instrument,kind,prev_date,prev_close,open_915,first_bar,gap_pct,range_915_pct,close_930,drift_915_930_pct,continuation,last_ts,last,day_pct_so_far,base_med_abs_gap,gap_pctile_vs_base,base_med_range_915,range_pctile_vs_base
2026-09-07,NIFTY,index,2026-09-04,23897.7,23883.15,09:15,-0.061,0.299,23828.65,-0.228,,15:25,23779.15,-0.496,0.32,8.0,0.282,56.0
2026-09-07,SENSEX,index,2026-09-04,76515.43,76446.05,09:15,-0.091,0.295,76310.68,-0.177,,15:25,76132.81,-0.5,0.386,18.0,0.294,50.0
2026-09-07,BANKNIFTY,index,2026-09-04,57369.65,57343.3,09:15,-0.046,0.485,57118.1,-0.393,,15:25,57088.3,-0.49,0.363,7.0,0.395,68.0
2026-09-07,TATASTEEL,stock,2026-09-04,188.79,189.0,09:15,0.111,1.413,186.99,-1.063,,15:10,185.0,-2.008,,,,
2026-09-07,INFY,stock,2026-09-04,1130.0,1109.5,09:15,-1.814,0.847,1105.5,-0.361,True,15:10,1087.3,-3.779,,,,
2026-09-07,ADANIENT,stock,2026-09-04,2938.0,2940.0,09:15,0.068,0.646,2933.8,-0.211,,15:10,2940.0,0.068,,,,
2026-09-07,HDFCBANK,stock,2026-09-04,712.1,712.1,09:15,0.0,0.52,711.05,-0.147,,15:10,710.6,-0.211,,,,
2026-09-07,SBIN,stock,2026-09-04,1016.1,1020.8,09:15,0.463,0.852,1013.7,-0.696,,15:10,1005.0,-1.092,,,,
2026-09-07,RELIANCE,stock,2026-09-04,1322.0,1323.1,09:15,0.083,0.469,1318.1,-0.378,,15:10,1307.0,-1.135,,,,
2026-09-07,ICICIBANK,stock,2026-09-04,1423.2,1428.0,09:15,0.337,0.378,1425.8,-0.154,,15:10,1423.6,0.028,,,,
2026-09-07,AXISBANK,stock,2026-09-04,1273.0,1271.0,09:15,-0.157,0.574,1266.0,-0.393,,15:10,1266.0,-0.55,,,,
2026-09-07,HCLTECH,stock,2026-09-04,1293.4,1271.7,09:15,-1.678,1.14,1277.7,0.472,False,15:10,1281.5,-0.92,,,,
2026-09-07,ADANIPORTS,stock,2026-09-04,1707.3,1714.0,09:15,0.392,1.015,1705.8,-0.478,,15:10,1693.9,-0.785,,,,
2026-09-08,NIFTY,index,2026-09-07,23779.15,23743.1,09:15,-0.152,0.33,23672.5,-0.297,,15:25,23635.1,-0.606,0.32,30.0,0.282,77.0
2026-09-08,SENSEX,index,2026-09-07,76132.81,75970.28,09:15,-0.213,0.318,75725.97,-0.322,,15:25,75577.58,-0.729,0.386,31.0,0.294,58.0
2026-09-08,BANKNIFTY,index,2026-09-07,57088.3,56990.4,09:15,-0.171,0.33,56935.85,-0.096,,15:25,56777.55,-0.544,0.363,28.0,0.395,35.0
2026-09-08,TATASTEEL,stock,2026-09-07,185.61,185.9,09:15,0.156,0.403,185.53,-0.199,,15:10,184.19,-0.765,,,,
2026-09-08,INFY,stock,2026-09-07,1087.5,1095.0,09:15,0.69,1.47,1081.7,-1.215,False,15:10,1081.5,-0.552,,,,
2026-09-08,ADANIENT,stock,2026-09-07,2950.0,2933.0,09:15,-0.576,0.58,2931.6,-0.048,True,15:10,2953.1,0.105,,,,
2026-09-08,HDFCBANK,stock,2026-09-07,710.5,707.1,09:15,-0.479,0.41,707.1,0.0,,15:10,704.35,-0.866,,,,
2026-09-08,SBIN,stock,2026-09-07,1005.9,1004.9,09:15,-0.099,0.388,1003.0,-0.189,,15:10,1008.0,0.209,,,,
2026-09-08,RELIANCE,stock,2026-09-07,1309.5,1304.1,09:15,-0.412,0.521,1299.2,-0.376,,15:10,1292.0,-1.336,,,,
2026-09-08,ICICIBANK,stock,2026-09-07,1427.5,1424.0,09:15,-0.245,0.541,1417.2,-0.478,,15:10,1399.4,-1.968,,,,
2026-09-08,AXISBANK,stock,2026-09-07,1266.0,1262.8,09:15,-0.253,0.863,1255.8,-0.554,,15:10,1244.9,-1.667,,,,
